,Neighborhood,Latitude,Longitude,Importance
0,Cantonment,,,
1,Domlur,,,
2,Indiranagar,12.9587464,77.5573456,0.11100000000000002
3,Jeevanbheemanagar,,,
4,Malleswaram,,,
5,Pete,,,
6,Sadashivanagar,,,
7,Seshadripuram,,,
8,Shivajinagar,12.9587464,77.5573456,0.11100000000000002
9,Ulsoor,,,
10,Vasanth Nagar,12.9587464,77.5573456,0.21100000000000002
11,Bellandur,12.9335752,77.6885447,0.201
12,CV Raman Nagar,,,
13,Hoodi,,,
14,Krishnarajapuram,,,
15,Mahadevapura,12.9335752,77.6885447,0.201
16,Marathahalli,,,
17,Varthur,,,
18,Whitefield,12.9587464,77.5573456,0.11100000000000002
19,Banaswadi,,,
20,HBR Layout,13.0240558,77.6240521,0.30100000000000005
21,Horamavu,,,
22,Kalyan Nagar,12.9587464,77.5573456,0.21100000000000002
23,Kammanahalli,,,
24,Lingarajapuram,,,
25,Ramamurthy Nagar,,,
26,Hebbal,,,
27,Jalahalli,,,
28,Mathikere,12.9587464,77.5573456,0.11100000000000002
29,Peenya,,,
30,R. T. Nagar,19.1990739,72.9644545,0.401
31,Vidyaranyapura,12.9587464,77.5573456,0.11100000000000002
32,Yelahanka,,,
33,Yeshwanthpur,,,
34,Bommanahalli,,,
35,Bommasandra,,,
36,BTM Layout,,,
37,Electronic City,12.9587464,77.5573456,0.11100000000000002
38,HSR Layout,13.0240558,77.6240521,0.201
39,Koramangala,12.9587464,77.5573456,0.11100000000000002
40,Madiwala,,,
41,Banashankari,,,
42,Basavanagudi,,,
43,Girinagar,,,
44,J. P. Nagar,,,
45,Jayanagar,12.9587464,77.5573456,0.11100000000000002
46,Kumaraswamy Layout,,,
47,Padmanabhanagar,,,
48,Uttarahalli,,,
49,Anjanapura,,,
50,Arekere,12.9587464,77.5573456,0.11100000000000002
51,Begur,12.9587464,77.5573456,0.11100000000000002
52,Gottigere,,,
53,Hulimavu,12.8565752,77.5889783,0.101
54,Kothnur,,,
55,Basaveshwaranagar,,,
56,Kamakshipalya,12.9879713,77.5402233,0.101
57,Kengeri,,,
58,Mahalakshmi Layout,,,
59,Nagarbhavi,,,
60,Nandini Layout,,,
61,Nayandahalli,,,
62,Rajajinagar,,,
63,Rajarajeshwari Nagar,,,
64,Vijayanagar,,,
65,Doddaballapura,,,
66,Doddaballapura,,,
67,Magadi,,,
68,Bidadi,,,
