,Neighborhood,Latitude,Longitude,Importance
0,Adarsh Nagar,28.7165805,77.1704223,0.7084280881117104
1,Ashok Vihar,28.6994533,77.1848256,0.31100000000000005
2,Begum Pur,28.725503,77.0583706,0.5850000000000001
3,Karala,28.73514,77.0325105,0.47000000000000003
4,Narela,28.8426096,77.0918354,0.5006663592762519
5,Pitam Pura,28.7032676,77.1322497,0.6554990317530526
6,Rohini Sub City,28.5679304,77.1594144,0.21100000000000002
7,Shalimar Bagh,28.7019574,77.1654317,0.6505469222584372
8,Civil Lines,28.6768508,77.2250299,0.6720860770895534
9,Gulabi Bagh,28.672404,77.18654,0.31100000000000005
10,Kamla Nagar,28.680344249999997,77.20212920033055,0.6812395276486036
11,Kashmiri Gate,28.6699765,77.2320588,0.31100000000000005
12,Kotwali,28.6517178,77.2219388,0.870289498654456
13,Model Town,28.7027136,77.1939912,0.6915239913351834
14,Mori Gate,28.664203,77.2237393,0.43500000000000005
15,Sadar Bazaar,28.6609052,77.2277153,0.560501936383412
16,Sarai Rohilla,28.66100315,77.20151396783757,0.51
17,Shakti Nagar,28.67979,77.1949142,0.56
18,Tis Hazari,28.6671626,77.2166306,0.6713896583874115
19,Timarpur,28.70126285,77.21867953631201,0.47000000000000003
20,Wazirabad,28.6864607,77.2763716,0.5699727592188057
21,Dilshad Garden,28.6758257,77.3215163,0.6619473185222723
22,Naveen Shahdara,28.6773386,77.2860157,0.5700000000000001
23,New Usmanpur,28.6838546,77.2560051,0.21100000000000002
24,Shahdara,28.6733333,77.2890248,0.5672856032024496
25,Shastri Park,28.6684339,77.2505301,0.655950553181826
26,Yamuna Vihar,28.700372,77.2727728,0.43500000000000005
27,Chandni Chowk,28.6560969,77.2354361,0.31100000000000005
28,Daryaganj,28.64609,77.243048,0.47000000000000003
29,Jhandewalan,28.6443188,77.1999165,0.589575729943735
30,Karol Bagh,28.6529982,77.1890227,0.7229821358312805
31,Shastri Nagar,28.6700885,77.1818589,0.655950553181826
32,Kishanganj,28.6627442,77.1979077,0.5359285856241072
33,Paharganj,28.6414989,77.2140607,0.49500000000000005
34,Rajender Nagar,,,
35,Barakhamba Road,28.6273988,77.2288941,0.41000000000000003
36,Chanakyapuri,28.5946775,77.1885212,0.6362305829362974
37,Connaught Place,28.6313827,77.2197924,0.7395069696850591
38,Gole Market,28.63371865,77.20562662098214,0.6141234681398242
39,INA Colony,28.57440755,77.21024148189088,0.51
40,Jor Bagh,28.5865979,77.212534,0.6507919818233354
41,Laxmibai Nagar,28.5754186,77.2051091,0.31100000000000005
42,Pragati Maidan,28.6234752,77.2425278,0.6598719574806675
43,East Vinod Nagar,28.6227661,77.3075035,0.5349999999999999
44,Jhilmil Colony,28.6698142,77.3072827,0.43500000000000005
45,Laxmi Nagar,28.6305526,77.277575,0.6515213678433922
46,Mayur Vihar,28.6133497,77.2955378,0.31100000000000005
47,Pandav Nagar,28.6179549,77.2867473,0.31100000000000005
48,Preet Vihar,28.6414409,77.2952594,0.659235472656649
49,Anand Vihar,28.641115,77.3125024,0.5850000000000001
50,Vasundhara Enclave,28.60172565,77.3211224956397,0.6100000000000001
51,Vishwas Nagar,28.66447005,77.29174139182146,0.56
52,Vivek Vihar,28.6691641,77.31226695421603,0.6100000000000001
53,Kamal Hans Nagar,,,
54,Alaknanda,28.5293364,77.2516323,0.47000000000000003
55,Chattarpur,28.4971399,77.1812506,0.34500000000000003
56,Chittaranjan Park,28.5387523,77.2492493451557,0.617572334229807
57,Defence Colony,28.5717909,77.2320102,0.56
58,East of Kailash,28.557032200000002,77.24461392068525,0.6599999999999999
59,Govindpuri,28.5351561,77.2637936,0.49500000000000005
60,Greater Kailash,28.5418724,77.2384643,0.6488036674790014
61,Green Park,28.5580071,77.2067933,0.6495568222611625
62,Gulmohar Park,28.5571011,77.2130055,0.56
63,Hauz Khas,28.5498053,77.20777007694593,0.6623541345166242
64,Hauz Khas Village,28.55385485,77.1947127585299,0.6099999999999999
65,Jangpura,28.5830409,77.2393165,0.22100000000000003
66,Kalkaji,28.5370703,77.2618051,0.52
67,Khanpur,28.5127982,77.2323949,0.34500000000000003
68,Lajpat Nagar,28.5792615,77.2440325,0.54859140675544
69,Lodi Colony,28.59070215,77.22092057315884,0.31100000000000005
70,Malviya Nagar,28.5339201,77.2124474,0.6930212082654317
71,Mehrauli,28.5218262,77.1783232,0.49500000000000005
72,Neeti Bagh,28.5592511,77.2161665,0.56
73,Nehru Place,28.54925735,77.25295199508821,0.6171516336244856
74,Netaji Nagar,28.5735343,77.1863593,0.56
75,New Friends Colony,28.5671008,77.2697643,0.6599999999999999
76,Nizamuddin West,28.588365,77.2449546,0.6154395124350447
77,Okhla,28.5636616,77.2890546,0.5335607691790297
78,Safdarjung Enclave,28.5656419,77.1934382,0.56
79,Sainik Farm,28.503746,77.21607253402124,0.6100000000000001
80,Saket,28.5244107,77.2137253,0.5636591220057594
81,Sangam Vihar,28.605127,76.9994916,0.56
82,Sarita Vihar,28.5285737,77.2883311,0.6498058423953755
83,Sarojini Nagar,28.5741575,77.1953703,0.7072651781515094
84,Sarvodaya Enclave,28.5374783,77.2020888,0.56
85,Siri Fort,28.5521464,77.2246983,0.31100000000000005
86,South Extension,28.5685664,77.2205677,0.6503008844092497
87,Sriniwaspuri,28.5652204,77.2547041,0.47000000000000003
88,Sundar Nagar,28.61893,76.961584,0.56
89,Tughlaqabad,28.5111925,77.2623265,0.285
90,Badarpur,28.4931698,77.3030239,0.5598058423953756
91,"Dabri, New Delhi",28.6107697,77.09110590789903,0.45500000000000007
92,Dwarka Sub City,28.5679304,77.1594144,0.21100000000000002
93,Delhi Cantonment,28.593833099999998,77.13497891459929,0.77
94,Dhaula Kuan,28.5918905,77.1617034,0.6490557430834509
95,Inderpuri,28.6286841,77.1470979,0.47000000000000003
96,Mahipalpur,28.544537,77.1279229,0.49500000000000005
97,Moti Bagh,28.5818356,77.1769289,0.56
98,Munirka,28.5568967,77.1750592,0.5590557430834509
99,Najafgarh,28.6131778,76.9982846,0.5598058423953756
100,Naraina Vihar,28.6243852,77.1364438,0.6503008844092497
101,Palam,28.5918933,77.0828242,0.5354342386327728
102,Rama Krishna Puram,28.5755607,77.17230336809229,0.51
103,Sagar Pur,,,
104,Vasant Kunj,28.5292495,77.1541335,0.6100000000000001
105,Vasant Vihar,28.56069055,77.16079073168567,0.6881495857429429
106,Ashok Nagar,28.6360207,77.101822,0.6070855185391935
107,Bali Nagar,28.6541384,77.128178,0.56
108,Fateh Nagar,28.6315015,77.1006012,0.56
109,Kirti Nagar,28.6545409,77.1513605,0.6769126707404047
110,Moti Nagar,28.657859,77.1424288,0.7130503733473176
111,Paschim Vihar,28.6695782,77.095956,0.66
112,Patel Nagar,28.6598088,77.156957,0.5535246308816305
113,Punjabi Bagh,28.668945,77.1324614,0.6596605253715209
114,Rajouri Garden,28.6451121,77.1239332,0.56
115,Tihar Village,28.6346361,77.1071121,0.37315075904307604
116,Tilak Nagar,28.6365482,77.0964961,0.6821284718961503
117,Vikas Nagar,28.6440092,77.05447042853372,0.56
118,Vikaspuri,28.638419050000003,77.07083614685489,0.52
